Date,Year,Month,MonthName,Quarter,Day,DayOfWeek,DateKey
2019-04-21,2019,4,April,2,21,Sunday,111
2019-04-22,2019,4,April,2,22,Monday,112
2019-04-23,2019,4,April,2,23,Tuesday,113
2019-04-24,2019,4,April,2,24,Wednesday,114
2019-04-25,2019,4,April,2,25,Thursday,115
2019-04-26,2019,4,April,2,26,Friday,116
2019-04-27,2019,4,April,2,27,Saturday,117
2019-04-28,2019,4,April,2,28,Sunday,118
2019-04-29,2019,4,April,2,29,Monday,119
2019-04-30,2019,4,April,2,30,Tuesday,120
2019-05-01,2019,5,May,2,1,Wednesday,121
2019-05-02,2019,5,May,2,2,Thursday,122
2019-05-03,2019,5,May,2,3,Friday,123
2019-05-04,2019,5,May,2,4,Saturday,124
2019-05-05,2019,5,May,2,5,Sunday,125
2019-05-06,2019,5,May,2,6,Monday,126
2019-05-07,2019,5,May,2,7,Tuesday,127
2019-05-08,2019,5,May,2,8,Wednesday,128
2019-05-09,2019,5,May,2,9,Thursday,129
2019-05-10,2019,5,May,2,10,Friday,130
2019-05-11,2019,5,May,2,11,Saturday,131
2019-05-12,2019,5,May,2,12,Sunday,132
2019-05-13,2019,5,May,2,13,Monday,133
2019-05-14,2019,5,May,2,14,Tuesday,134
2019-05-15,2019,5,May,2,15,Wednesday,135
2019-05-16,2019,5,May,2,16,Thursday,136
2019-05-17,2019,5,May,2,17,Friday,137
2019-05-18,2019,5,May,2,18,Saturday,138
2019-05-19,2019,5,May,2,19,Sunday,139
2019-05-20,2019,5,May,2,20,Monday,140
2019-05-21,2019,5,May,2,21,Tuesday,141
2019-05-22,2019,5,May,2,22,Wednesday,142
2019-05-23,2019,5,May,2,23,Thursday,143
2019-05-24,2019,5,May,2,24,Friday,144
2019-05-25,2019,5,May,2,25,Saturday,145
2019-05-26,2019,5,May,2,26,Sunday,146
2019-05-27,2019,5,May,2,27,Monday,147
2019-05-28,2019,5,May,2,28,Tuesday,148
2019-05-29,2019,5,May,2,29,Wednesday,149
2019-05-30,2019,5,May,2,30,Thursday,150
2019-05-31,2019,5,May,2,31,Friday,151
2019-06-01,2019,6,June,2,1,Saturday,152
2019-06-02,2019,6,June,2,2,Sunday,153
